247,8008462,Jesús, Maria i Josep,2,Privat
248,8008474,Valldaura,2,Privat
249,8008504,Providencia del Corazón de Jesús,2,Privat
250,8008516,Mare de Déu de la Soledat,2,Privat
251,8008531,Amor de Dios,2,Privat
252,8008656,Ramon Llull,2,Privat
253,8008681,Ginesta,2,Privat
254,8008701,Grey,2,Privat
255,8008747,Mireia,2,Privat
256,8008784,Sant Gabriel,2,Privat
257,8008796,Verns,2,Privat
258,8008826,Miró,2,Privat
259,8008851,Voramar,2,Privat
260,8008930,San Francisco,2,Privat
261,8008981,Sagrat Cor Besòs,2,Privat
262,8009016,Roig Tesalia,2,Privat
263,8009156,Sagrado Corazón,2,Privat
264,8009171,Escola Casas,1,Públic
265,8009235,Santísima Trinidad,2,Privat
266,8009247,Grèvol,2,Privat
267,8009260,Jesuïtes Clot - El Clot,2,Privat
268,8009430,Didac,2,Privat
269,8009454,Sant Ramon Nonat,2,Privat
270,8009466,Sant Ramon Nonat-Sagrat Cor,2,Privat
271,8009491,Montserrat,2,Privat
272,8009508,Santa Teresa de Lisieux,2,Privat
273,8009636,Sant Miquel,2,Privat
274,8009673,Pare Manyanet,2,Privat
275,8009685,Sagrada Família,2,Privat
276,8009697,IPSI,2,Privat
277,8009776,Escola Arc Iris,1,Públic
278,8009806,FEDAC-Horta,2,Privat
279,8009934,La Salle Horta,2,Privat
280,8009971,Guinardó,2,Privat
281,8009995,Regina Carmeli,2,Privat
282,8010006,Nou Patufet,2,Privat
283,8010031,Grimm,2,Privat
284,8010055,Princesa Margarita,2,Privat
285,8010146,Escola del Mar,1,Públic
286,8010171,Immaculada Concepció,2,Privat
287,8010201,Escola Parc del Guinardó,1,Públic
288,8010304,Santa Teresa de Jesús,2,Privat
289,8010341,Vedruna Immaculada Barcelona,2,Privat
290,8010432,Sagrada Família-Horta,2,Privat
291,8010468,Palcam,2,Privat
292,8010501,Claret,2,Privat
293,8010547,Mare de Déu del Coll,2,Privat
294,8010641,Abat Oliba-Spínola,2,Privat
295,8010821,Magòria,2,Privat
296,8010882,Molina,2,Privat
297,8010912,Escola Ignasi Iglésias,1,Públic
298,8010961,La Salle Barceloneta,2,Privat
299,8010973,LLI privada Tagore,2,Privat
300,8011096,Piaget,2,Privat
301,8011199,Adela de Trenquelleón,2,Privat
302,8011266,Aspace,2,Privat
303,8011281,Inst. Pedagogia Terapèut. Jeroni de Moragas,2,Privat
304,8011291,Pedralbes,2,Privat
305,8011394,Sant Joan Bosco,2,Privat
306,8011424,Sants Innocents,2,Privat
307,8011448,Gravi,2,Privat
308,8011451,Aspasim,2,Privat
309,8011606,Asunción de Nuestra Señora,2,Privat
310,8011643,Sant Genís dels Agudells,2,Privat
311,8011941,Escola Pia Balmes,2,Privat
312,8012027,Frederic Mistral-Tècnic Eulàlia,2,Privat
313,8012714,Institut Anna Gironella de Mundet,1,Públic
314,8012970,LLI privada Kasperle,2,Privat
315,8013071,Ntra. Sra. de Montserrat,2,Privat
316,8013093,Institut Montjuïc,1,Públic
317,8013101,Institut Joan d'Àustria,1,Públic
318,8013111,Institut Jaume Balmes,1,Públic
319,8013135,Institut Moisès Broggi,1,Públic
320,8013147,Institut Emperador Carles,1,Públic
321,8013159,Institut Infanta Isabel d'Aragó,1,Públic
322,8013160,Institut Poeta Maragall,1,Públic
323,8013184,Institut Bernat Metge,1,Públic
324,8013196,Institut Milà i Fontanals,1,Públic
325,17010207,Llar d'infants El Sorrer,1,Públic
326,8013202,Institut Montserrat,1,Públic
327,8013214,Institut Narcís Monturiol,1,Públic
328,8013226,Institut Menéndez y Pelayo,1,Públic
329,8013238,Institut Verdaguer,1,Públic
330,8013275,Institut Escola del Treball,1,Públic
331,8013305,Escola Ramon Berenguer III,1,Públic
332,8013317,A. Hospitalària Sant Joan de Déu-Hospital Sant Joan de Déu,2,Privat
333,8013329,EA Llotja,1,Públic
334,8013354,CEE Municipal Vil·la Joana,1,Públic
335,8013366,Institut Sant Andreu,1,Públic
336,8013408,Escola Barcelona,1,Públic
337,8013411,Escola Poble-sec,1,Públic
338,8013457,Escola Pegaso,1,Públic
339,8013469,Institut Rambla Prim,1,Públic
340,8013470,Institut Barri Besòs,1,Públic
341,8013500,Aula Escuela Europea,2,Privat
342,8013585,La Sagrera,2,Privat
343,8013603,Súnion,2,Privat
344,8013627,Granés,2,Privat
345,8013640,Joan Pelegrí,2,Privat
346,8013706,Castro  de la Peña,2,Privat
347,8013767,Prat,2,Privat
348,8013846,Santa Clara,2,Privat
349,8013901,CEE La Ginesta,1,Públic
350,8014012,Mare de Déu de Montserrat,2,Privat
351,8014051,Estimia-El Niu,2,Privat
352,8014097,Closa,2,Privat
353,8014115,Institut Ferran Tallada,1,Públic
354,8014139,AF Centre d'estudis,2,Privat
355,8014140,Guru,2,Privat
356,8014176,Ites-Ciape,2,Privat
357,8014188,Institut Josep Serrat i Bonastre,1,Públic
358,8014206,Institut Juan Manuel Zafra,1,Públic
359,8014255,Sopeña Barcelona,2,Privat
360,8014279,Escola Professional Salesiana,2,Privat
361,8014310,Santíssima Trinitat,2,Privat
362,8014358,Aloma,2,Privat
363,8014401,Institut Mare de Déu de la Mercè,1,Públic
364,8014449,Mare de Déu del Roser Les Planes,2,Privat
365,8014589,Escola Sant Cristòfor,1,Públic
366,8014590,Sant Lluís de Pla i Amell Bosch,2,Privat
367,8014620,Escola Sant Joan,1,Públic
368,8014656,Vedruna Berga,2,Privat
369,8014668,Escola de la Valldan,1,Públic
370,8014681,Escola Santa Eulàlia,1,Públic
371,8014693,Institut Guillem de Berguedà,1,Públic
372,8014747,Escola El Turó,1,Públic
373,8014796,Escola de Borredà - ZER Berguedà Centre,1,Públic
374,8014814,Escola El Bruc,1,Públic
375,8014841,Escola Les Oliveres - ZER Serra d'Ancosa,1,Públic
376,8014887,Sant Feliu,2,Privat
377,8014905,Escola L'Olivera,1,Públic
378,8014929,Escola Alta Segarra,1,Públic
379,8015004,Escola Sagrada Família,1,Públic
380,8015041,Escola Pia de Caldes de Montbui,2,Privat
381,8015077,Escola El Farell,1,Públic
382,8015107,Escola Anton Busquets i Punset - ZER El Moianès Ponent,1,Públic
